Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN00019,2,0,2,2,meal_plan_1,0,room_type1,99,10/30/2017,online,0,0,0,65,0,canceled
INN00020,2,0,1,0,meal_plan_1,0,room_type1,12,10/4/2017,offline,0,0,0,72,0,not_canceled
INN00021,2,0,2,2,meal_plan_1,0,room_type1,99,10/30/2017,online,0,0,0,65,0,canceled
INN00022,1,0,0,1,meal_plan_1,0,room_type1,122,11/25/2018,corporate,0,0,0,67,0,not_canceled
INN00023,2,0,2,4,meal_plan_1,0,room_type1,2,3/20/2018,offline,0,0,0,85,0,not_canceled
INN00024,2,0,0,3,meal_plan_1,0,room_type1,37,10/13/2018,offline,0,0,0,105,0,not_canceled
INN00025,2,0,2,1,not_selected,0,room_type1,130,5/22/2018,online,0,0,0,94.5,1,not_canceled
INN00026,2,0,0,2,meal_plan_1,0,room_type1,99,4/28/2018,online,0,0,0,114.3,1,not_canceled
INN00027,2,0,1,1,meal_plan_1,0,room_type1,60,9/21/2017,offline,0,0,0,65,0,not_canceled
INN00028,1,0,0,2,meal_plan_1,0,room_type4,2,5/19/2018,aviation,0,0,0,110,0,canceled
INN00029,1,0,1,2,meal_plan_1,0,room_type1,37,11/6/2017,online,0,0,0,37.33,0,canceled
INN00030,2,0,0,2,meal_plan_2,0,room_type1,56,9/17/2017,offline,0,0,0,82,0,not_canceled
INN00031,2,0,1,1,meal_plan_1,0,room_type4,3,9/19/2017,online,0,0,0,177.5,1,not_canceled
INN00032,2,0,2,2,meal_plan_1,0,room_type1,107,11/13/2018,online,0,0,0,87.5,1,not_canceled
INN00033,0,2,0,3,meal_plan_1,0,room_type2,56,12/7/2018,online,0,0,0,82.44,1,not_canceled
INN00034,2,0,0,1,not_selected,0,room_type1,2,1/9/2018,online,0,0,0,69.5,1,not_canceled
INN00035,2,0,0,2,meal_plan_1,0,room_type1,72,10/7/2018,offline,0,0,0,85.5,0,not_canceled
INN00036,2,0,0,1,not_selected,1,room_type1,23,4/27/2018,online,0,0,0,115,1,not_canceled
INN00037,1,0,2,1,meal_plan_1,0,room_type1,34,6/19/2018,online,0,0,0,81,0,canceled
INN00038,2,0,0,1,meal_plan_1,0,room_type1,289,10/17/2017,offline,0,0,0,67,0,not_canceled
INN00039,2,0,2,3,not_selected,0,room_type1,247,11/19/2018,online,0,0,0,63.75,0,canceled
INN00040,2,0,2,1,meal_plan_1,0,room_type4,186,7/30/2018,online,0,0,0,121.8,1,canceled
INN00041,2,0,0,4,meal_plan_1,0,room_type1,64,11/1/2018,online,0,0,0,93.6,2,not_canceled
INN00042,2,0,0,2,meal_plan_1,0,room_type1,35,6/21/2018,online,0,0,0,102,1,not_canceled
INN00043,3,0,2,1,meal_plan_1,0,room_type1,96,4/10/2018,online,0,0,0,121.8,1,not_canceled
INN00044,2,0,1,1,not_selected,0,room_type1,41,6/27/2018,online,0,0,0,98.1,1,canceled
INN00045,2,0,0,4,meal_plan_1,0,room_type4,55,11/18/2017,offline,0,0,0,60,1,not_canceled
INN00046,2,0,0,3,meal_plan_1,0,room_type1,146,12/29/2017,offline,0,0,0,75,0,not_canceled
INN00047,1,0,0,2,meal_plan_1,0,room_type1,32,11/20/2017,offline,0,0,0,73,0,not_canceled
INN00048,2,0,0,1,meal_plan_2,0,room_type1,55,4/6/2018,offline,0,0,0,104,0,not_canceled
INN00049,2,0,0,4,not_selected,0,room_type1,57,11/1/2018,online,0,0,0,79.2,1,not_canceled
INN00050,1,0,1,3,meal_plan_1,0,room_type4,7,12/29/2018,online,0,0,0,125.8,2,not_canceled
INN00051,1,0,2,5,not_selected,0,room_type1,124,5/30/2018,online,0,0,0,87.95,0,not_canceled
INN00052,2,0,2,2,meal_plan_2,0,room_type1,169,4/22/2018,online,0,0,0,106,0,canceled
INN00053,1,0,1,2,meal_plan_1,0,room_type1,6,5/16/2018,online,0,0,0,136.67,1,not_canceled
INN00054,2,0,0,4,meal_plan_1,0,room_type4,51,11/11/2017,offline,0,0,0,60,1,not_canceled
INN00055,2,0,1,0,not_selected,0,room_type1,13,6/13/2018,online,0,0,0,89,2,not_canceled
INN00056,2,0,1,3,meal_plan_1,0,room_type1,100,5/19/2018,online,0,0,0,136,1,not_canceled
INN00057,2,0,0,1,not_selected,0,room_type1,139,7/28/2018,online,0,0,0,94.5,1,not_canceled
INN00058,2,0,1,2,meal_plan_1,0,room_type1,117,12/26/2018,online,0,0,0,93.6,2,not_canceled
INN00059,2,0,1,4,meal_plan_1,0,room_type4,39,4/20/2018,online,0,0,0,120.6,0,canceled
INN00060,2,0,0,3,meal_plan_1,0,room_type4,86,4/6/2018,online,0,0,0,99.3,1,not_canceled
INN00061,2,2,0,1,meal_plan_1,1,room_type6,2,9/2/2018,online,0,0,0,258,1,not_canceled
INN00062,1,0,0,3,meal_plan_1,0,room_type4,19,5/3/2018,online,0,0,0,120.12,2,not_canceled
INN00063,1,0,0,2,meal_plan_1,0,room_type1,192,6/24/2018,offline,0,0,0,95,0,not_canceled
INN00064,1,0,0,1,meal_plan_1,0,room_type1,2,9/10/2017,complementary,0,0,0,0,1,not_canceled
INN00065,2,0,2,1,meal_plan_1,0,room_type1,86,12/18/2018,offline,0,0,0,75,0,not_canceled
INN00066,2,0,0,3,meal_plan_1,0,room_type4,30,10/5/2018,online,0,0,0,157.5,2,not_canceled
INN00067,2,0,0,2,meal_plan_1,0,room_type4,179,6/3/2018,online,0,0,0,97.7,1,not_canceled
INN00068,2,0,0,2,meal_plan_1,0,room_type4,26,4/15/2018,online,0,0,0,142,0,canceled
INN00069,2,0,0,1,meal_plan_1,0,room_type1,55,4/6/2018,offline,0,0,0,80,0,not_canceled
INN00070,2,0,1,2,meal_plan_1,0,room_type1,74,4/25/2018,online,0,0,0,85.5,1,not_canceled
INN00071,2,0,0,3,meal_plan_1,0,room_type1,143,8/25/2018,offline,0,0,0,100,0,not_canceled
INN00072,2,0,1,0,not_selected,0,room_type1,34,11/14/2018,online,0,0,0,88,2,not_canceled
INN00073,2,0,1,1,meal_plan_1,1,room_type1,30,8/29/2018,online,0,0,0,122.85,1,not_canceled
INN00074,2,0,0,2,meal_plan_1,0,room_type1,177,6/3/2018,online,0,0,0,100,0,canceled
INN00075,2,0,2,3,meal_plan_1,0,room_type4,34,10/25/2017,offline,0,0,0,75,0,not_canceled
INN00076,2,0,1,4,meal_plan_1,0,room_type4,18,3/9/2018,online,0,0,0,116.8,1,not_canceled
INN00077,3,0,1,1,meal_plan_1,0,room_type4,267,12/31/2018,online,0,0,0,121.5,0,not_canceled
INN00078,2,0,1,2,meal_plan_1,0,room_type1,64,6/27/2018,online,0,0,0,111.9,1,not_canceled
INN00079,3,0,2,5,meal_plan_1,0,room_type4,155,6/28/2018,online,0,0,0,121.55,2,canceled
INN00080,2,0,0,5,meal_plan_1,0,room_type1,46,3/29/2018,offline,0,0,0,75,1,not_canceled
INN00081,2,2,0,2,meal_plan_1,0,room_type6,83,4/1/2018,online,0,0,0,159.3,0,canceled
INN00082,2,0,0,5,meal_plan_1,0,room_type4,128,10/11/2018,online,0,0,0,132.3,0,canceled
INN00083,2,0,2,0,not_selected,0,room_type1,20,12/25/2018,online,0,0,0,88,2,not_canceled
INN00084,2,0,1,4,meal_plan_1,0,room_type4,40,3/14/2018,online,0,0,0,98.82,0,not_canceled
INN00085,2,0,1,2,meal_plan_1,1,room_type4,46,3/4/2018,online,0,0,0,98.3,1,not_canceled
INN00086,1,0,1,0,meal_plan_1,0,room_type1,1,10/17/2018,online,0,0,0,150,2,not_canceled
INN00087,2,0,2,3,not_selected,0,room_type1,196,9/4/2018,online,0,0,0,96.05,1,not_canceled
INN00088,1,0,0,2,meal_plan_1,0,room_type1,188,6/15/2018,online,0,0,0,130,0,canceled
INN00089,2,0,0,1,not_selected,0,room_type1,17,12/10/2018,online,1,0,5,95,0,not_canceled
INN00090,2,0,0,3,meal_plan_1,0,room_type5,146,8/9/2018,offline,0,0,0,113.56,0,not_canceled
INN00091,2,0,1,3,not_selected,0,room_type1,110,5/5/2018,online,0,0,0,101.58,1,not_canceled
INN00092,2,0,1,2,meal_plan_1,1,room_type1,68,3/18/2018,online,0,0,0,105.3,0,not_canceled
INN00093,2,0,2,1,meal_plan_1,0,room_type4,73,4/9/2018,online,0,0,0,115.8,1,not_canceled
INN00094,2,0,0,1,meal_plan_1,0,room_type4,92,5/19/2018,online,0,0,0,149.4,1,not_canceled
INN00095,2,0,2,5,meal_plan_1,0,room_type1,171,8/30/2018,online,0,0,0,111.59,0,canceled
INN00096,2,1,0,2,meal_plan_1,1,room_type1,134,8/4/2018,online,0,0,0,130.5,2,not_canceled
INN00097,2,0,0,2,meal_plan_2,0,room_type1,320,8/18/2018,online,0,0,0,115,1,canceled
INN00098,2,0,0,4,meal_plan_1,0,room_type1,118,4/13/2018,online,0,0,0,90.95,1,not_canceled
INN00099,2,0,0,3,meal_plan_1,0,room_type1,30,11/17/2018,online,0,0,0,76.08,1,not_canceled
INN00100,2,2,1,3,meal_plan_1,0,room_type6,30,12/22/2018,online,0,0,0,156.9,0,not_canceled
INN00101,2,0,1,0,not_selected,0,room_type1,189,10/23/2018,online,0,0,0,85.5,2,not_canceled
INN00102,3,0,1,2,meal_plan_1,0,room_type4,55,5/13/2018,online,0,0,0,159.3,2,not_canceled
INN00103,1,0,0,4,meal_plan_1,0,room_type1,55,12/13/2018,online,0,0,0,74.8,2,not_canceled
INN00104,2,0,0,1,meal_plan_1,0,room_type1,16,10/31/2017,online,0,0,0,95,1,not_canceled
INN00105,2,0,0,3,meal_plan_1,0,room_type1,24,10/8/2017,online,0,0,0,107,1,not_canceled
INN00106,2,0,0,3,meal_plan_1,0,room_type1,8,2/16/2018,offline,0,0,0,64,0,not_canceled
INN00107,2,0,1,4,meal_plan_1,1,room_type1,10,11/2/2017,online,0,0,0,82.95,0,not_canceled
INN00108,2,0,1,3,meal_plan_1,0,room_type4,0,9/21/2017,online,0,0,0,155,1,not_canceled
INN00109,2,0,0,1,not_selected,0,room_type1,12,6/30/2018,online,0,0,0,101.68,1,not_canceled
INN00110,2,0,2,1,meal_plan_1,0,room_type1,32,9/5/2017,online,0,0,0,94.5,3,not_canceled
INN00111,2,0,0,2,meal_plan_1,0,room_type1,182,9/30/2018,online,0,0,0,117.9,2,canceled
INN00112,2,0,1,0,not_selected,0,room_type1,1,6/27/2018,online,0,0,0,127,1,not_canceled
INN00113,2,0,0,3,not_selected,0,room_type1,122,6/16/2018,online,0,0,0,116.1,2,not_canceled
INN00114,2,0,2,3,meal_plan_1,0,room_type1,40,6/30/2018,online,0,0,0,117.9,1,not_canceled
INN00115,2,2,2,2,meal_plan_1,0,room_type2,116,6/26/2018,online,0,0,0,184.24,1,canceled
INN00116,3,0,2,2,meal_plan_1,1,room_type4,123,8/13/2018,online,0,0,0,155.7,1,not_canceled
INN00117,3,0,2,5,meal_plan_1,0,room_type4,40,4/22/2018,online,0,0,0,135.76,0,canceled
INN00118,2,1,2,5,meal_plan_1,0,room_type1,105,11/12/2018,online,0,0,0,102.83,3,not_canceled
INN00119,2,0,0,1,meal_plan_1,0,room_type1,443,4/29/2018,online,0,0,0,65,0,canceled
INN00120,2,0,2,3,meal_plan_1,0,room_type1,2,11/14/2017,online,0,0,0,103,1,not_canceled
INN00121,2,0,0,3,meal_plan_1,0,room_type1,317,9/1/2018,online,0,0,0,106.2,1,canceled
INN00122,2,0,0,2,meal_plan_2,0,room_type1,286,9/16/2018,offline,0,0,0,58.5,0,not_canceled
INN00123,2,0,1,3,meal_plan_1,0,room_type1,68,3/10/2018,online,0,0,0,73.95,0,canceled
INN00124,2,0,0,3,meal_plan_1,0,room_type1,148,5/5/2018,online,0,0,0,105.3,0,not_canceled
INN00125,3,0,2,0,meal_plan_1,0,room_type4,68,4/24/2018,online,0,0,0,133.2,2,not_canceled
INN00126,2,0,0,2,meal_plan_1,0,room_type1,30,3/30/2018,offline,0,0,0,85.5,0,not_canceled
INN00127,1,0,0,1,meal_plan_1,0,room_type1,14,11/3/2018,online,0,0,0,112,1,canceled
INN00128,2,2,0,2,meal_plan_1,0,room_type6,110,10/14/2018,online,0,0,0,190.8,0,canceled
INN00129,1,0,2,3,meal_plan_1,0,room_type1,117,6/5/2018,offline,0,0,0,110,0,not_canceled
INN00130,2,0,1,4,meal_plan_1,0,room_type4,85,7/13/2018,online,0,0,0,91.48,1,not_canceled
INN00131,2,0,0,2,not_selected,0,room_type1,1,10/20/2018,online,0,0,0,135,2,not_canceled
INN00132,1,0,1,2,meal_plan_1,0,room_type1,25,10/17/2018,online,0,0,0,129,2,not_canceled
INN00133,2,0,2,4,not_selected,0,room_type1,289,12/28/2018,online,0,0,0,70.55,2,canceled
INN00134,2,0,1,4,meal_plan_1,0,room_type4,28,10/19/2017,offline,0,0,0,75,0,not_canceled
INN00135,1,0,0,4,not_selected,0,room_type1,80,3/29/2018,online,0,0,0,72.25,0,not_canceled
INN00136,2,0,0,1,meal_plan_1,0,room_type4,11,10/9/2017,online,0,0,0,155,2,not_canceled
INN00137,2,1,1,0,meal_plan_1,0,room_type1,162,7/25/2018,online,0,0,0,121.5,2,canceled
INN00138,2,0,2,5,meal_plan_1,0,room_type1,155,6/28/2018,online,0,0,0,90.95,2,not_canceled
INN00139,1,0,2,2,meal_plan_1,0,room_type1,82,5/22/2018,online,0,0,0,109.65,0,not_canceled
INN00140,3,0,2,4,meal_plan_1,0,room_type4,27,4/15/2018,online,0,0,0,142.72,0,canceled
INN00141,1,0,1,2,meal_plan_1,0,room_type1,13,5/9/2018,offline,0,0,0,90,0,not_canceled
INN00142,2,0,0,2,meal_plan_1,0,room_type1,245,6/17/2018,online,0,0,0,75,0,canceled
INN00143,2,0,0,2,meal_plan_1,0,room_type1,11,11/18/2018,online,0,0,0,111,1,canceled
INN00144,2,0,2,2,meal_plan_1,0,room_type1,266,10/30/2018,online,0,0,0,86.7,2,not_canceled
INN00145,2,0,1,0,meal_plan_1,0,room_type1,39,3/28/2018,online,0,0,0,117.9,1,not_canceled
INN00146,1,0,0,2,meal_plan_1,0,room_type1,13,6/1/2018,complementary,1,3,5,0,1,not_canceled
INN00147,2,0,0,4,not_selected,0,room_type1,112,5/4/2018,online,0,0,0,101.58,1,not_canceled
INN00148,2,0,1,2,not_selected,0,room_type1,88,4/8/2018,online,0,0,0,58.9,1,not_canceled
INN00149,2,0,0,1,meal_plan_1,0,room_type1,56,6/8/2018,offline,0,0,0,120,0,not_canceled
INN00150,2,0,2,3,meal_plan_1,0,room_type4,73,4/7/2018,online,0,0,0,107.1,0,canceled
INN00151,2,0,1,1,meal_plan_1,0,room_type1,80,5/2/2018,online,0,0,0,126.9,1,not_canceled
INN00152,2,0,0,3,meal_plan_1,0,room_type4,130,9/29/2018,online,0,0,0,139.5,2,canceled
INN00153,2,0,1,3,not_selected,0,room_type1,69,4/4/2018,online,0,0,0,80.75,1,not_canceled
INN00154,2,0,0,2,meal_plan_2,0,room_type1,273,7/17/2017,online,0,0,0,109,0,canceled
INN00155,2,0,0,1,meal_plan_2,0,room_type1,55,4/6/2018,offline,0,0,0,104,0,not_canceled
INN00156,1,0,0,3,meal_plan_1,0,room_type1,4,11/1/2018,corporate,1,1,5,65,1,not_canceled
INN00157,2,0,0,3,meal_plan_1,0,room_type4,97,5/24/2018,online,0,0,0,140.4,0,not_canceled
INN00158,2,0,0,3,meal_plan_1,0,room_type1,44,2/17/2018,offline,0,0,0,75,0,not_canceled
INN00159,2,0,0,1,not_selected,0,room_type1,31,4/14/2018,online,0,0,0,94.5,0,canceled
INN00160,2,0,1,0,not_selected,0,room_type1,0,6/5/2018,online,0,0,0,109,0,not_canceled
INN00161,2,0,2,2,meal_plan_1,0,room_type1,62,11/12/2018,online,0,0,0,105,2,not_canceled
INN00162,2,0,2,2,meal_plan_1,0,room_type4,86,4/17/2018,online,0,0,0,107.95,1,not_canceled
INN00163,3,0,2,2,meal_plan_1,0,room_type7,3,10/7/2018,online,0,0,0,215.6,1,not_canceled
INN00164,2,0,1,1,not_selected,0,room_type1,197,8/1/2018,online,0,0,0,85.5,1,not_canceled
INN00165,2,0,0,2,meal_plan_1,0,room_type1,143,7/12/2018,online,0,0,0,105.3,2,not_canceled
INN00166,1,0,2,1,meal_plan_2,0,room_type1,23,1/2/2018,online,0,0,0,1,0,not_canceled
INN00167,2,0,0,2,meal_plan_1,0,room_type4,8,6/15/2018,online,0,0,0,156,0,canceled
INN00168,1,0,0,2,meal_plan_1,0,room_type1,13,11/16/2018,online,0,0,0,73.15,1,not_canceled
INN00169,2,0,1,2,meal_plan_1,0,room_type1,280,9/19/2018,online,0,0,0,110,0,canceled
INN00170,2,1,1,0,not_selected,0,room_type1,11,9/13/2017,online,0,0,0,87.4,1,not_canceled
INN00171,2,0,0,2,meal_plan_1,0,room_type1,317,9/15/2018,online,0,0,0,120,0,canceled
INN00172,2,0,1,2,not_selected,0,room_type1,185,12/16/2018,online,0,0,0,79.2,0,canceled
INN00173,2,0,1,3,meal_plan_1,0,room_type1,160,6/30/2018,online,0,0,0,90.95,1,not_canceled
INN00174,2,0,0,4,meal_plan_1,0,room_type1,104,10/18/2018,online,0,0,0,91.48,1,not_canceled
INN00175,2,1,0,1,meal_plan_1,0,room_type1,11,11/5/2018,online,0,0,0,150,1,canceled
INN00176,2,0,0,1,not_selected,0,room_type1,2,3/22/2018,online,0,0,0,89,0,not_canceled
INN00177,2,0,1,4,not_selected,0,room_type1,14,8/17/2018,online,0,0,0,91.43,1,not_canceled
INN00178,2,0,0,2,meal_plan_1,0,room_type1,22,5/20/2018,offline,0,0,0,140,0,not_canceled
INN00179,1,1,2,5,not_selected,0,room_type1,37,10/24/2017,online,0,0,0,87.78,0,not_canceled
INN00180,2,0,0,2,meal_plan_2,0,room_type1,292,7/21/2018,online,0,0,0,115,0,canceled
INN00181,2,0,0,3,meal_plan_1,0,room_type1,11,9/9/2017,online,0,0,0,80.85,1,not_canceled
INN00182,2,0,1,3,meal_plan_1,0,room_type1,86,3/31/2018,online,0,0,0,82.45,1,not_canceled
INN00183,2,0,0,1,not_selected,0,room_type1,109,10/11/2018,online,0,0,0,108,0,canceled
INN00184,2,0,1,1,meal_plan_1,0,room_type4,72,4/2/2018,online,0,0,0,96.3,1,not_canceled
INN00185,2,0,1,5,meal_plan_1,0,room_type1,196,8/22/2018,online,0,0,0,99.45,0,canceled
INN00186,2,0,0,2,meal_plan_1,0,room_type4,56,5/13/2018,online,0,0,0,140.4,1,not_canceled
INN00187,2,0,1,3,meal_plan_1,0,room_type1,189,8/8/2018,offline,0,0,0,72.25,0,not_canceled
INN00188,2,0,1,4,meal_plan_1,0,room_type4,126,8/15/2018,online,0,0,0,126,0,not_canceled
INN00189,2,0,2,3,meal_plan_1,0,room_type1,303,8/19/2018,online,0,0,0,78,0,canceled
INN00190,1,0,2,2,meal_plan_1,0,room_type4,81,11/6/2018,online,0,0,0,146.6,1,not_canceled
INN00191,2,0,1,2,meal_plan_1,0,room_type1,54,10/10/2018,online,0,0,0,118.8,0,canceled
INN00192,1,0,0,1,meal_plan_1,0,room_type1,15,10/6/2018,online,0,0,0,145,0,canceled
INN00193,2,0,0,4,meal_plan_1,0,room_type1,86,4/6/2018,online,0,0,0,84.58,0,canceled
INN00194,2,0,1,2,meal_plan_2,0,room_type1,161,3/25/2018,online,0,0,0,130,0,canceled
INN00195,2,0,4,10,meal_plan_1,0,room_type4,147,8/3/2018,online,0,0,0,118.88,1,canceled
INN00196,2,0,1,2,meal_plan_1,0,room_type1,92,5/30/2018,offline,0,0,0,101.52,0,not_canceled
INN00197,2,0,0,1,meal_plan_1,0,room_type1,87,9/11/2017,corporate,0,0,0,100,0,canceled
INN00198,2,0,2,1,meal_plan_1,0,room_type1,109,3/20/2018,offline,0,0,0,58,0,not_canceled
INN00199,2,0,0,4,meal_plan_1,0,room_type1,127,3/23/2018,offline,0,0,0,61.5,2,not_canceled
INN00200,2,0,1,2,meal_plan_2,0,room_type1,418,9/26/2018,online,0,0,0,107,0,canceled
INN00201,2,0,1,4,not_selected,0,room_type1,156,8/24/2018,online,0,0,0,87.3,1,not_canceled
INN00202,2,0,0,2,meal_plan_1,0,room_type1,80,7/16/2017,online,0,0,0,76.5,1,canceled
INN00203,2,0,2,2,not_selected,0,room_type1,211,12/16/2018,online,0,0,0,63.75,0,canceled
INN00204,2,0,1,2,meal_plan_1,0,room_type1,273,5/13/2018,online,0,0,0,95,0,canceled
INN00205,2,0,2,1,meal_plan_1,0,room_type1,58,11/19/2018,offline,0,0,0,75,1,not_canceled
INN00206,2,0,0,3,meal_plan_1,0,room_type1,433,9/8/2018,online,0,0,0,70,0,canceled
INN00207,2,0,1,3,meal_plan_1,0,room_type1,111,5/2/2018,online,0,0,0,101.58,1,not_canceled
INN00208,2,0,2,3,meal_plan_1,0,room_type1,34,8/21/2018,offline,0,0,0,85,0,not_canceled
INN00209,2,0,2,4,meal_plan_1,0,room_type1,17,12/3/2018,online,0,0,0,98.39,0,not_canceled
INN00210,1,0,0,0,meal_plan_1,0,room_type1,4,2/27/2018,complementary,0,0,0,0,1,not_canceled
INN00211,2,0,0,3,meal_plan_1,0,room_type1,6,9/22/2017,online,0,0,0,106.07,1,not_canceled
INN00212,2,0,1,1,meal_plan_1,0,room_type1,32,7/18/2018,offline,0,0,0,105,1,not_canceled
INN00213,2,0,0,1,meal_plan_1,0,room_type1,4,9/22/2017,online,0,0,0,145,2,not_canceled
INN00214,3,0,2,1,meal_plan_1,0,room_type1,195,8/13/2018,online,0,0,0,106.03,1,canceled
INN00215,2,0,2,2,meal_plan_1,0,room_type1,119,8/13/2018,online,0,0,0,114.3,1,not_canceled
INN00216,1,0,1,1,not_selected,0,room_type1,13,12/5/2018,online,0,0,0,88,0,not_canceled
INN00217,2,0,0,2,meal_plan_1,0,room_type1,59,10/15/2017,online,0,0,0,89.25,2,not_canceled
INN00218,2,1,2,5,meal_plan_1,0,room_type4,78,3/20/2018,online,0,0,0,86.32,1,not_canceled
INN00219,2,0,0,3,meal_plan_1,0,room_type1,335,10/13/2018,offline,0,0,0,90,1,not_canceled
INN00220,2,0,2,5,meal_plan_1,0,room_type1,103,8/22/2017,online,0,0,0,55.96,0,not_canceled
INN00221,1,0,0,2,not_selected,0,room_type1,0,6/8/2018,online,0,0,0,109,1,not_canceled
INN00222,2,0,0,1,meal_plan_1,0,room_type1,118,3/1/2018,offline,0,0,0,86,0,not_canceled
INN00223,2,0,1,5,meal_plan_1,0,room_type1,56,9/5/2018,online,0,0,0,118.95,0,not_canceled
INN00224,2,0,0,2,meal_plan_1,0,room_type1,107,6/10/2018,offline,0,0,0,130,1,not_canceled
INN00225,2,0,1,3,not_selected,0,room_type1,70,4/14/2018,online,0,0,0,90.56,1,not_canceled
INN00226,2,0,0,2,meal_plan_1,0,room_type1,76,4/1/2018,online,0,0,0,87.3,1,not_canceled
INN00227,2,2,2,2,meal_plan_1,0,room_type6,144,5/27/2018,online,0,0,0,177.65,1,canceled
INN00228,1,2,2,2,meal_plan_1,0,room_type6,4,9/19/2017,online,0,0,0,200.75,2,not_canceled
INN00229,2,1,0,2,meal_plan_1,0,room_type1,15,3/18/2018,online,0,0,0,127,1,not_canceled
INN00230,1,0,1,2,meal_plan_1,0,room_type1,32,2/5/2018,online,0,0,0,72.9,0,canceled
INN00231,3,0,1,1,meal_plan_1,0,room_type4,49,5/7/2018,online,0,0,0,159.3,0,canceled
INN00232,2,1,1,3,meal_plan_1,0,room_type1,77,5/12/2018,online,0,0,0,135.15,1,not_canceled
INN00233,1,0,0,2,meal_plan_1,0,room_type1,22,10/28/2018,offline,0,0,0,90,0,not_canceled
INN00234,2,0,1,0,not_selected,0,room_type1,0,10/18/2017,online,0,0,0,114,0,not_canceled
INN00235,2,1,0,1,meal_plan_1,1,room_type1,58,6/21/2018,online,0,0,0,125.1,1,not_canceled
INN00236,2,0,2,6,not_selected,0,room_type1,4,8/14/2017,online,0,0,0,95.13,1,not_canceled
INN00237,2,0,0,2,meal_plan_1,0,room_type5,117,4/29/2018,online,0,0,0,105.84,0,canceled
INN00238,2,0,1,3,meal_plan_1,0,room_type1,36,12/26/2018,online,0,0,0,102,0,canceled
INN00239,2,0,2,2,not_selected,0,room_type1,35,12/2/2018,online,0,0,0,74.8,2,not_canceled
INN00240,2,0,1,0,not_selected,0,room_type1,31,4/24/2018,online,0,0,0,94.5,0,canceled
INN00241,2,0,2,4,not_selected,0,room_type1,79,6/16/2018,online,0,0,0,120.6,0,not_canceled
INN00242,2,0,1,2,meal_plan_1,0,room_type1,1,10/9/2017,online,0,0,0,139.33,0,not_canceled
INN00243,2,0,0,2,meal_plan_1,0,room_type1,21,9/3/2017,online,0,0,0,105,0,not_canceled
INN00244,2,0,0,2,not_selected,0,room_type1,12,9/14/2018,corporate,0,0,0,100,1,not_canceled
INN00245,2,0,1,0,meal_plan_1,0,room_type1,33,2/8/2018,online,0,0,0,80.3,1,not_canceled
INN00246,1,0,0,2,meal_plan_1,0,room_type1,164,10/2/2017,offline,0,0,0,100,0,not_canceled
INN00247,2,0,0,3,meal_plan_1,1,room_type1,78,3/24/2018,online,0,0,0,105.3,1,not_canceled
INN00248,2,0,0,4,meal_plan_1,0,room_type4,18,5/31/2018,online,0,0,0,112.8,0,canceled
